journal,year,title,abstract,doi,relevance_score
ilr,2017,Credible Research Designs for Minimum Wage Studies,"The authors assess the critique by Neumark, Salas, and Wascher (2014) of minimum wage studies that found small effects on teen employment. Data from 1979 to 2014 contradict NSW; the authors show that the disemployment suggested by a model assuming parallel trends across U.S. states mostly reflects differential pre-existing trends. A data-driven LASSO procedure that optimally corrects for state trends produces a small employment elasticity (–0.01). Even a highly sparse model rules out substantial disemployment effects, contrary to NSW’s claim that the authors discard too much information. Synthetic controls do place more weight on nearby states—confirming the value of regional controls—and generate an elasticity of −0.04. A similar elasticity (−0.06) obtains from a design comparing contiguous border counties, which the authors show to be good controls. NSW’s preferred matching estimates mix treatment and control units, obtain poor matches, and find the highest employment declines where the relative minimum wage falls. These findings refute NSW’s key claims.",https://doi.org/10.1177/0019793917692788,437.81598
aeja,2010,Minimum Wages and Earnings Inequality in Urban Mexico,"This paper analyzes the contribution of the minimum wage to the well documented rise in earnings inequality in Mexico between the late 1980s and the early 2000s. We find that a substantial part of the growth in inequality, and essentially all of the growth in inequality in the bottom end of the distribution, is due to the steep decline in the real value of the minimum wage. (JEL J31, J38, O15, O17, O18, R23)",https://doi.org/10.1257/app.2.4.128,400.40387
ir,2015,Minimum Wage Channels of Adjustment,"We analyze the effects of minimum wage increases in 2007–2009 using a sample of restaurants from Georgia and Alabama. Store‐level payroll records provide precise measures of compliance costs. We examine multiple adjustment channels. Exploiting variation in compliance costs across restaurants, we find employment and hours responses to be variable and in most cases statistically insignificant. Channels of adjustment to wage increases and to changes in nonlabor costs include prices, profits, wage compression, turnover, and performance standards.",https://doi.org/10.1111/irel.12091,399.3688
ilr,2011,Does a Higher Minimum Wage Enhance the Effectiveness of the Earned Income Tax Credit?,"The authors estimate the effects of the interactions between the Earned Income Tax Credit (EITC) and minimum wages on labor market outcomes. They use information on policy variation from the Department of Labor's Monthly Labor Review, reports published by the Center on Budget and Policy Priorities, and data on individuals and families from the Current Population Survey to assess the economic impact of minimum wages and the EITC on families. Their results indicate that for single women with children, the EITC boosts employment and earnings, and coupling the EITC with a higher minimum wage enhances this positive effect. Conversely, for less-skilled minority men and for women without children, employment and earnings are more adversely affected by the EITC when the minimum wage is higher. Turning from individuals to families, for very poor families with children a higher minimum wage increases the positive impact of the EITC on incomes, so that a higher minimum wage appears to enhance the effects of the EITC. Whether the policy combination of a high EITC and a high minimum wage is viewed as favorable or unfavorable depends in part on whom policymakers are trying to help.",https://doi.org/10.1177/001979391106400405,395.36316
jpe,2015,How Effective Is the Minimum Wage at Supporting the Poor?,"This study investigates the antipoverty efficacy of minimum wage policies. Proponents of these policies contend that employment impacts are negligible and suggest that consumers pay for higher labor costs through imperceptible increases in goods prices. Adopting this empirical scenario, the analysis demonstrates that an increase in the national minimum wage produces a value-added tax effect on consumer prices that is more regressive than a typical state sales tax and allocates benefits as higher earnings nearly evenly across the income distribution. These income-transfer outcomes sharply contradict portraying an increase in the minimum wage as an antipoverty initiative.",https://doi.org/10.1086/679626,393.0461
restat,2011,Minimum Wages and Alcohol-Related Traffic Fatalities among Teens,"Using cross-state variation in minimum wages, we observe a positive relationship between the minimum wage and the number of alcohol-related accidents involving teen drivers. A similar effect is not observed when examining accidents among adults. The results are consistent with a positive income elasticity for alcoholic beverages and driving activities among young people, in particular for consumption out of discretionary income accorded by higher minimum wages. Evidence of a sizable impact of beer taxes on alcohol-related accidents among youths suggests that beer taxes are one avenue for policymakers to consider in counteracting this unintended consequence of minimum wages.",https://doi.org/10.1162/rest_a_00199,371.4401
jpam,2017,Do Higher Minimum Wages Benefit Health? Evidence From the UK,"This study examines the link between minimum wages and health outcomes by using the introduction of the National Minimum Wage (NMW) in the United Kingdom in 1999 as an exogenous variation of earned income. A test for health effects by using longitudinal data from the British Household Panel Survey for a period of ten years was conducted. It was found that the NMW significantly improved several measures of health, including self-reported health status and the presence of health conditions. When examining potential mechanisms, it was shown that changes in health behaviors, leisure expenditures, and financial stress can explain the observed improvements in health.",https://doi.org/10.1002/pam.22006,342.17117
ilr,2010,Institutional Economics and the Minimum Wage: Broadening the Theoretical and Policy Debate,"Debate among labor economists on the pros and cons of a minimum wage law has come to focus on whether labor markets are competitive or monopsonistic. Using principles and concepts of institutional economics, the author argues that this perspective on minimum wages is too narrow. In particular, he uses institutional theory to develop four theoretical rationales for minimum wage legislation: setting a floor on wages to offset imperfect competition and inequality of bargaining power; promote macroeconomic stabilization and full employment; contribute to long-term efficiency and growth; and incorporate labor market externalities and social costs of labor. One revisionist implication is that a minimum wage under plausible conditions may increase economic efficiency even in a purely competitive labor market.",https://doi.org/10.1177/001979391006300304,334.59283
ilr,2015,The Consequences of Increased Enforcement of Legal Minimum Wages in a Developing Country,"In August 2010, the Costa Rican government implemented a comprehensive program to increase compliance with legal minimum wages, the Campaña Nacional de Salarios Mínimos (National Campaign for Minimum Wages). To evaluate the impact of the Campaign, the authors use a regression discontinuity (RD) approach, which compares what happened to workers who before the Campaign had been earning below the minimum wage to those who before the Campaign had been earning above the minimum wage. They analyze a panel data set with information on workers from before the Campaign began (July 2010) and after the Campaign had been in operation for some time (July 2011). The evidence supports the conclusion that the Campaign led to an increase in compliance with minimum wage laws in Costa Rica; the mean earnings of those being paid less than the minimum wage in 2010 increased by approximately 10% more than the earnings of those being paid more than the minimum wage. The Campaign led to the largest increases in the wages of women, younger workers, and less-educated workers. The authors find no evidence that the Campaign had a negative impact on the employment of full-time workers whose wages were increased. Weak evidence suggests that the Campaign had a negative impact on the employment of part-time private-sector employees. Although increased inspections mainly targeted minimum wage violations, the authors also observe an increase in compliance with a broader set of labor standards and a positive spillover effect relative to other violations of labor laws. Specifically, the analysis provides evidence that the Campaign had a positive impact on the probability that workers receive legally mandated nonwage benefits such as Social Security (which includes pension and health insurance), overtime pay, sick leave, and paid vacations.",https://doi.org/10.1177/0019793915575703,331.81042
bjir,2010,The Effect of Minimum Wages on Labour Market Outcomes: County‐Level Estimates from the Restaurant‐and‐Bar Sector,"Abstract We use US county‐level data on employment and earnings in the restaurant‐and‐bar sector to evaluate the impact of minimum‐wage changes in low‐wage labour markets. Our estimated models are consistent with a simple competitive model in which supply‐and‐demand factors affect both the equilibrium outcome and the probability of the minimum wage being binding. Our evidence does not suggest that minimum wages reduce employment once controls for trends in county‐level sectoral employment are incorporated. Rather, employment appears to exhibit an independent downward trend in states that have increased their minimum wages relative to states that have not, thereby predisposing estimates towards reporting negative outcomes.",https://doi.org/10.1111/j.1467-8543.2010.00819.x,320.2106
jole,2017,Minimum Wages and Firm Value,"How does firm value change in response to a minimum wage hike? This paper exploits the announcement of a big change in the UK minimum wage that was both totally unanticipated and free of uncertainty. The stock market response to this is examined in an event study setting. The analysis uncovers significant falls in the stock market value of low-wage firms. In light of this finding, the paper concludes by discussing magnitudes of response, including longer-term modes of firm adjustment to the cost shock induced by the minimum wage hike.",https://doi.org/10.1086/693870,314.40085
ei,2017,DO MINIMUM WAGE INCREASES INFLUENCE WORKER HEALTH?,"This study investigates whether minimum wage increases impact worker health in the United States. We consider self‐reported measures of general, mental, and physical health. We use data on lesser‐skilled workers from the 1993 to 2014 Behavioral Risk Factor Surveillance Survey. Among men, we find no evidence that minimum wage increases improve health; instead, we find that such increases lead to worse health outcomes, particularly among unemployed men. We find both worsening general health and improved mental health following minimum wage increases among women. These findings broaden our understanding of the full impacts of minimum wage increases on lesser‐skill workers. ( JEL I1, I11, I18)",https://doi.org/10.1111/ecin.12453,306.94702
ilr,2017,Reply to “Credible Research Designs for Minimum Wage Studies”,"The authors make three points in this reply to the article by Allegretto, Dube, Reich, and Zipperer (ADRZ 2017). First, ADRZ shed no new light on the sensitivity of estimated minimum wage employment effects to the treatment of trends in state-level panel data, and they make some arguments in this context that are misleading or simply wrong. Second, the key issue ADRZ emphasize—using “close controls” to account for shocks that are correlated with minimum wage changes—does not generate large differences in findings, and ADRZ do not address evidence from Neumark, Salas, and Wascher (NSW 2014a) that questions the validity of the close controls used in Allegretto, Dube, and Reich’s (ADR 2011) and Dube, Lester, and Reich’s (DLR 2010) work. Third, ADRZ ignore or dismiss a growing number of studies that address in various ways the same issue of potential correlations between minimum wages and shocks to low-skill labor markets that ADRZ argue generate spurious evidence of disemployment effects, yet often find rather large negative effects of minimum wages on low-skilled employment.",https://doi.org/10.1177/0019793917698429,303.56155
ilr,2012,Are the Effects of Minimum Wage Increases Always Small? New Evidence from a Case Study of New York State,"The authors estimate the effect of the 2004–6 New York State (NYS) minimum wage increase from $5.15 to $6.75 per hour on the employment rates of 16- to 29-year-olds who do not have a high school diploma. Using data drawn from the 2004 and 2006 Current Population Survey, they employ difference-in-difference estimates to show that the NYS minimum wage increase is associated with a 20.2% to 21.8% reduction in the employment of less-skilled, less-educated workers, with the largest effects on those aged 16 to 24. Their estimates imply a median employment elasticity with respect to the minimum wage of around −0.7, large relative to previous researchers' estimates. The authors' findings are robust to their choice of geographically proximate comparison states, the use of a more highly skilled within-state comparison group, and a synthetic control design approach. Moreover, their results provide plausible evidence that state minimum wage increases can have substantial adverse labor demand effects for low-skilled individuals that are outside previous elasticity estimates, ranging from −0.1 to −0.3.",https://doi.org/10.1177/001979391206500207,303.5387
jeea,2011,CIVIL SOCIETY AND THE STATE: THE INTERPLAY BETWEEN COOPERATION AND MINIMUM WAGE REGULATION,"Journal Article Civil Society and the State: The Interplay between Cooperation and Minimum Wage Regulation Get access Philippe Aghion, Philippe Aghion 1Harvard University Search for other works by this author on: Oxford Academic Google Scholar Yann Algan, Yann Algan 2Sciences Po Search for other works by this author on: Oxford Academic Google Scholar Pierre Cahuc Pierre Cahuc 3Ecole Polytechnique Search for other works by this author on: Oxford Academic Google Scholar Journal of the European Economic Association, Volume 9, Issue 1, 1 February 2011, Pages 3–42, https://doi.org/10.1111/j.1542-4774.2010.01004.x Published: 01 February 2011",https://doi.org/10.1111/j.1542-4774.2010.01004.x,302.59726
jole,2012,"Minimum Wage Effects on Employment, Substitution, and the Teenage Labor Supply: Evidence from Personnel Data","Using personnel data from a large US retail firm, I examine the firm’s response to the 1996 federal minimum wage increase. Compulsory increases in average wages had negative but statistically insignificant effects on overall employment. However, increases in the relative wages of teenagers led to significant increases in the relative employment of teenagers, especially younger and more affluent teenagers. Further analysis suggests a pattern consistent with noncompetitive models. Where the legislation affected mainly the wages of teenagers and so was only moderately binding, it led both to higher teenage labor market participation and to higher absolute employment of teenagers.",https://doi.org/10.1086/666921,295.60956
aer,2016,The Distributional and Efficiency Effects of Increasing the Minimum Wage: A Simulation,"The generally accepted goal of minimum wage laws is to alter the distribution of income in favor of low-income households. However, since a minimum wage will also disrupt low-wage labor markets, causing inefficiencies and imposing costs on some of the same workers the law is intended to help, an evaluation of the policy requires a weighing of the distributional benefits against the efficiency costs. Quantification of these benefits and costs is clearly important to this evaluation. While much effort has been devoted to estimating the employment effects of minimum wage laws, relatively little work has been done to estimate the distributional benefits. Our simulations focus on this efficiency-equity tradeoff by developing estimates of the impact of an increase in the minimum wage on the level and distribution of real income across households. Previous work has concluded that minimum wages are not as beneficial in their distributional impact as generally supposed.'",NA,291.2541
oep,2012,"Wage inequality, minimum wage effects, and spillovers","This paper investigates possible spillover effects of the UK minimum wage. The halt in the growth in inequality in the lower half of the wage distribution (as measured by the 50:10 percentile ratio) since the mid-1990s, in contrast to the continued inequality growth in the upper half of the distribution, suggests the possibility of a minimum wage effect and spillover effects on wages above the minimum. This paper analyses individual wage changes, using both a difference-in-differences estimator and a specification involving comparisons across minimum wage upratings, and concludes that there have not been minimum wage spillovers. Since the UK minimum wage has always been below the 10 th percentile, this lack of spillovers implies that minimum wage changes have not had an effect on the 50:10 percentile ratio measure of inequality in the lower half of the wage distribution.",https://doi.org/10.1093/oep/gps003,282.79126
ir,2015,Who Is Affected by the Minimum Wage?,"Prior surveys of empirical research on the minimum wage have been organized around the question “What does the minimum wage affect?” This survey is organized around the question “Who is affected by the minimum wage?” We review the consequences of the minimum wage for teens and young workers, men and women, African Americans and Hispanics, the less educated, workers in low‐wage industries, and low‐wage/low‐income populations. Although there is almost universal agreement that the minimum wage boosts earnings, evidence for a negative employment effect varies between mixed and nonexistent. An important gap in the literature is the paucity of research on low‐wage/low‐income groups.",https://doi.org/10.1111/irel.12107,282.4397
le,2016,Raising the standard: Minimum wages and firm productivity,NA,https://doi.org/10.1016/j.labeco.2016.11.010,270.04718
le,2018,People versus machines: The impact of minimum wages on automatable jobs,NA,https://doi.org/10.1016/j.labeco.2018.03.006,264.6283
jpub,2012,Optimal minimum wage policy in competitive labor markets,NA,https://doi.org/10.1016/j.jpubeco.2012.06.001,262.68613
ilr,2012,"Minimum Wages, Labor Market Institutions, and Female Employment: A Cross-Country Analysis","The authors investigate the employment consequences of minimum wage regulation for women in 16 OECD countries during 1970 to 2008. The treatment follows that of Neumark and Wascher's (2004) cross-country study using panel methods to estimate minimum wage effects among teenagers and young adults, although they focus on prime-age females—a group often neglected in the minimum wage literature. Moreover, their analysis covers a longer time interval and deploys time-varying policy and institutional regressors. They report average effects consistent with minimum wages causing material employment losses among the target group and, less conclusively, elevated joblessness as well. Their cross-country findings agree with Neumark and Wascher on the role of some individual labor market institutions and policies, but the authors do not observe the same patterns in the institutional data: specifically, prime-age females do not exhibit stronger employment losses in countries with the least regulated markets.",https://doi.org/10.1177/001979391206500402,260.87564
bjir,2013,Minimum Wages and Collective Bargaining: What Types of Pay Bargaining Can Foster Positive Pay Equity Outcomes?,"Abstract Using data from interviews and collective agreements in five E uropean countries, this article analyses the relationship between collective bargaining and the minimum wage. In a context of changing minimum wage policy and competing government objectives, the findings illuminate how pay bargaining strategies of trade unions and employers shape the pay equity effects of minimum wage policy. Two general forms are identified: direct responses to a changing national minimum wage, and responses to the absence or weakness of a national minimum wage. The article explains how particular intersections of minimum wage policy and collective bargaining, together with country and sector contingencies, shape the form of pay bargaining and pay equity outcomes.",https://doi.org/10.1111/bjir.12021,260.42676
bjir,2013,Does the <scp>UK</scp> Minimum Wage Reduce Employment? A Meta‐Regression Analysis,"Abstract The employment effect from raising the minimum wage has long been studied but remains in dispute. Our meta‐analysis of 236 estimated minimum wage elasticities and 710 partial correlation coefficients from 16 UK studies finds no overall practically significant adverse employment effect. Unlike US studies, there seems to be little, if any, overall reporting bias. Multivariate meta‐regression analysis identifies several research dimensions that are associated with differential employment effects. In particular, the residential home care industry may exhibit a genuinely adverse employment effect.",https://doi.org/10.1111/bjir.12031,256.5728
ei,2017,THE EFFECT OF MINIMUM WAGES ON EMPLOYMENT: A FACTOR MODEL APPROACH,"This paper uses factor model methods to resolve issues in the minimum wage‐employment debate. Factor model methods provide a more flexible way of addressing concerns related to unobserved heterogeneity that are robust to critiques from either side of the debate. The factor model estimators produce minimum wage‐employment elasticity estimates that are much smaller than the traditional ordinary least squares ( OLS ) results and are not statistically different from zero. These results hold for many specifications and datasets from the minimum wage‐employment literature. A simulation shows that unobserved common factors can explain the different estimates seen across methodologies in the literature. ( JEL C23, J21, K31)",https://doi.org/10.1111/ecin.12472,248.6734
labour,2017,Do minimum wages increase job satisfaction? Micro‐data evidence from the new German minimum wage,"Abstract On January 1, 2015, a new statutory minimum wage of € 8.50 per hour of work was introduced in Germany. Using a difference‐in‐differences approach, we estimate effects on worker‐level outcomes of continuing employees. The results reveal a meaningful absolute increase in the affected workers' pay satisfaction. The increase in job satisfaction is modest and predominantly driven by changes in pay satisfaction implying only a small effect on all other dimensions of job satisfaction. Moreover, effects from the minimum wage on work engagement and turnover intention are virtually zero.",https://doi.org/10.1111/labr.12117,242.5294
ir,2011,"Minimum Wages, Employer-Provided Health Insurance, and the Non-discrimination Law","This article exploits cross-state variation in minimum wages to investigate the impact of minimum wage changes on employer-provided health insurance. In contrast to the existing empirical literature, this article considers an environment where some firms are constrained by non-discrimination laws that govern the provision of health insurance. For these firms, minimum wage changes do not reduce the probability that workers will receive employer-provided health insurance. For firms not covered by the non-discrimination law, and free to tailor their fringe benefits, low-skilled workers experience a disproportionate reduction in the availability and generosity of health insurance after a minimum wage increase.",https://doi.org/10.1111/j.1468-232x.2011.00635.x,233.78615
obes,2011,"Employment, Inequality and the UK National Minimum Wage over the Medium‐Term<sup>*</sup>","Abstract We assess the impact of the national minimum wage (NMW) on employment and inequality in the UK over the decade since its introduction. We evaluate its effects in each year, using an incremental differences‐in‐differences (IDiD) estimator. Identification is based on variation in the bite of the NMW across local labour markets and the different sized year on year up‐ratings. We find that an increased bite of the NMW is associated with falls in lower tail wage inequality. While the average employment effect over the entire period is broadly neutral, there are small but significant positive NMW effects from 2003 onwards.",https://doi.org/10.1111/j.1468-0084.2011.00653.x,233.51208
le,2012,Setting the minimum wage,NA,https://doi.org/10.1016/j.labeco.2012.01.001,231.42206
jole,2015,The Minimum Wage and Inequality: The Effects of Education and Technology,"In the past 30 years, wage inequality has increased steeply while real minimum wages have fallen. This paper demonstrates that a general equilibrium model with endogenous skill choice is required to correctly evaluate the implications of minimum wage changes. The minimum wage not only truncates the wage distribution but also affects skill prices and therefore changes the incentives that people face when making educational decisions. The calibrated model suggests—in line with recent empirical literature—that even though minimum wages affect the bottom end of the wage distribution more, their impact on the top end is significant as well.",https://doi.org/10.1086/682346,230.02858
restat,2012,"Wage Rigidity, Collective Bargaining, and the Minimum Wage: Evidence from French Agreement Data","Abstract Using data sets on wage agreements at both industry and firm levels in France, we document stylized facts on wage stickiness. The average duration of wages is a little less than one year, and 10% of wages are modified each month by a wage agreement. The frequency of wage change agreements is staggered over the year, but the frequency of effective wage changes is seasonal. The national minimum wage has a significant impact on the probability and the seasonality of wage changes. Negotiated wage increases are correlated with inflation, minimum wage increases, and firm profitability.",https://doi.org/10.1162/rest_a_00329,228.02486
jbes,2010,The Distributional Impacts of Minimum Wage Increases When Both Labor Supply and Labor Demand Are Endogenous,"We develop and estimate a one-shot search model with endogenous firm entry, and therefore zero expected profits, and endogenous labor supply. Positive employment effects from a minimum wage increase can result as the employment level depends upon both the numbers of searching firms and workers. Welfare implications are similar to the classical analysis: workers who most want the minimum wage jobs are hurt by the minimum wage hike with workers marginally interested in minimum wage jobs benefiting. We estimate the model using CPS data on teenagers and show that small changes in the employment level are masking large changes in labor supply and demand. Teenagers from well-educated families see increases in their employment probabilities and push out their less-privileged counterparts from the labor market. This article has supplementary material online.",https://doi.org/10.1198/jbes.2010.07076,227.04088
labour,2015,Impact of the Minimum Wage on Youth Labor Markets,"Abstract We study the effect of the minimum wage on labor market outcomes for young workers using US county‐level panel data from the first quarter of 2000 to the first quarter of 2009. We go beyond the usual estimates of earnings and employment effects to consider how differences across states in the minimum wage affect worker turnover via separations and accessions and job turnover through new job creation and job losses. We find that a higher minimum wage level is associated with higher earnings, lower employment and reduced worker turnover for those in the 14–18 age group. For workers aged 19–21 and 22–24, we find less consistent evidence of minimum wage effects on earnings and employment. But, even for these age groups, a higher minimum wage is found to reduce accessions, separations and the turnover rate.",https://doi.org/10.1111/labr.12071,223.78146
ir,2015,The Effects of Minimum Wages on Food Stamp Enrollment and Expenditures,"We provide the first causal analysis of how minimum wages affects enrollments and expenditures in the Supplemental Nutrition Assistance Program ( SNAP ). Exploiting state‐ and federal‐level variation in minimum‐wage policy between 1990 and 2012, and incorporating local controls in our specifications, we find that a 10 percent minimum wage increase reduces SNAP enrollment between 2.4 and 3.2 percent, and reduces program expenditures an estimated 1.9 percent. If the federal minimum wage were increased from $7.25 to $10.10, enrollment would fall between 7.5 and 8.7 percent (3.1 to 3.6 million persons) relative to 2012 levels, and annual expenditures would decrease 6 percent ($4.6 billion).",https://doi.org/10.1111/irel.12110,223.41989
le,2017,Minimum wage effects on firm-provided and worker-initiated training,"This study examined the effects of minimum wages on formal and informal firm-provided training and worker-initiated training in Japan. Economic theory predicts that a minimum wage increase will adversely affect firm-provided training, and while we found that this effect was indeed observed on formal training, with a 1% increase in the minimum wage causing a 2.8% decline in the formal training of workers affected by minimum wage increases, no statistically significant decrease occurred with informal training. Further, although workers can potentially increase their self-learning activities to compensate for any decrease in skill development opportunities in the workplace, we found that an increase in the minimum wage did not increase worker-initiated training. Therefore, the overall effect of an increase in the minimum wage was a decrease in skill development among those workers affected by minimum wages.",https://doi.org/10.1016/j.labeco.2017.05.011,221.76682
izajl,2015,On the robustness of minimum wage effects: geographically-disparate trends and job growth equations,"Abstract Recent attempts to incorporate spatial heterogeneity in minimum-wage employment models have been targeted for using overly simplistic trend controls and for neglecting the potential impact of wage minima on employment growth. This paper investigates whether such considerations call into question findings of statistically insignificant employment effects reported in the literature for an archetypal low-wage sector in the United States: restaurants and bars. Understanding this relationship goes to the heart of the policy debate surrounding minimum wages and, hence, is critical to investigate carefully. Our results conclude that a focus on employment levels is appropriate for this sector and, further, that the deployment of nonlinear trend controls does not dislodge prior research which finds weak support for the existence of adverse minimum-wage employment effects on employment. JEL Classification: J23, J38",https://doi.org/10.1186/s40172-015-0039-z,220.0669
eer,2013,Minimum wages and youth unemployment,NA,https://doi.org/10.1016/j.euroecorev.2013.08.004,219.20857
ir,2015,Explaining the Small Employment Effects of the Minimum Wage in the United States,"This paper reviews the most recent wave of research—roughly since 2000—on the employment effects of the U.S. minimum wage and concludes that the weight of evidence points to little or no employment response to modest increases. The paper then examines eleven possible adjustments to minimum‐wage increases that may explain why the measured employment effects are consistently small. Given the relatively low cost to employers of modest increases in the minimum wage, these adjustment mechanisms appear to be sufficient to avoid employment losses, even for employers with a large share of low‐wage workers.",https://doi.org/10.1111/irel.12106,218.34724
ilr,2017,Are Local Minimum Wages Absorbed by Price Increases? Estimates from Internet-Based Restaurant Menus,"The authors analyze 884 Internet-based restaurant menus from inside and outside San Jose, California, which they collected before and after the city implemented a 25% minimum wage increase in 2013. Their findings suggest that nearly all of the cost increase was passed through to consumers, as prices rose 1.45% on average. Minimum wage price elasticities averaged 0.058 for all restaurants and ranged from 0.044 to 0.109, depending on the type of restaurant. The authors’ estimate of payroll cost increases net of turnover savings is consistent with these findings. Equally important, border effects for restaurants are smaller than is often conjectured. Price differences among restaurants that are one-half mile from either side of the policy border are not competed away, indicating that restaurant demand is spatially inelastic. These results imply that citywide minimum wage policies need not result in substantive negative employment effects nor shifts of economic activity to nearby areas.",https://doi.org/10.1177/0019793917713735,217.59785
